"","year","CITYGB","name_short","name","total_population_adm","total_population_city","non_agri_population_admin","non_agri_population_city","natural_growth_admin","natural_growth_city","AREA","PROVGB","EPROV","ECITY","CPROV","CCITY","CNTYGB","ECNTY","CCNTY","zhigong_number_adm","zhigong_number_city","total_wage_adm","total_wage_city","average_wage_adm","average_wage_city","gdp_adm","gdp_city","fdi_cont_adm","fdi_cont_city","fdi_real_adm","fdi_real_city","year_linear","post_t"
"3413-2002","2002","3413","宿州","宿州",557.7,"140.1",62.4,"28.7",6.89,"6.89",0.97,34,"Anhui","Suzhou","安徽","宿州市",NA,NA,NA,21.79,9.08,"159587","74611",7323.86,"8217.07",2074129,662715,1902,1852,1533,1141,10,TRUE
"3413-2003","2003","3413","宿州","宿州",563.1,"141.8",63.8,"29.6",6.69,"8.7",0.97,34,"Anhui","Suzhou","安徽","宿州市",NA,NA,NA,20.74,8.9,"168960","82088",8146.58,"9223.37",2199287,705183,1235,263,1146,531,11,TRUE
"3413-2004","2004","3413","宿州","宿州",599.6,"173.4",72.4,"37.5",7.14,"7.88",0.97,34,"Anhui","Suzhou","安徽","宿州市",NA,NA,NA,23.4,12,"247389","146840",10572.18,"12236.67",2791206,944700,4018,3786,886,622,12,TRUE
"3414-1999","1999","3414","巢湖","巢湖",445.5,"83.74",71.38,"29.03",4.92,"5.07",0.896,34,"Anhui","Chaohu","安徽","巢湖市",NA,NA,NA,22,7,"127968","47655",5770,"6573",2084849,576021,1997,1729,2363,2137,7,TRUE
"3414-2000","2000","3414","巢湖","巢湖",448.86,"    84.52",73.28,"    29.88",4.6,"    5.58",0.896,34,"Anhui","Chaohu","安徽","巢湖市",NA,NA,NA,21.13,6.81,"    134296","    51005",6356,"    7490",1902267,543026,7596,1597,3982,253,8,TRUE
"3414-2001","2001","3414","巢湖","巢湖",451.37,"84.91",75,"30.74",4.13,"4.7",0.896,34,"Anhui","Chaohu","安徽","巢湖市",NA,NA,NA,19.82,6.22,"147305","53694",7432.14,"8632.48",2052484,582093,8682,3421,4835,2564,9,TRUE
"3414-2002","2002","3414","巢湖","巢湖",452.61,"85.42",77.17,"32.06",4.24,"4.87",0.896,34,"Anhui","Chaohu","安徽","巢湖市",NA,NA,NA,18.64,7.82,"163827","71240",8789,"9109.97",2227315,633986,1860,721,1659,623,10,TRUE
"3414-2003","2003","3414","巢湖","巢湖",453.3,"85.9",81.3,"22.9",3.85,"3.87",0.896,34,"Anhui","Chaohu","安徽","巢湖市",NA,NA,NA,16.7,12.3,"167571","60609",10034.19,"4927.56",2482739,705559,9273,1908,4329,1105,11,TRUE
"3414-2004","2004","3414","巢湖","巢湖",453.96,"86.65",82.7,"32.31",4.16,"4.14",0.896,34,"Anhui","Chaohu","安徽","巢湖市",NA,NA,NA,15.96,5.01,"183093","65698",11471.99,"13113.37",2946200,804634,3776,2274,4907,1252,12,TRUE
"3415-1999","1999","3415","六安","六安",655.65,"173.47",93.57,"36.48",4.69,"5.02",1.751,34,"Anhui","Liuan","安徽","六安市",NA,NA,NA,29,8,"142609","34764",4936,"4562",1791815,480657,1669,280,242,242,7,TRUE
"3415-2000","2000","3415","六安","六安",662.11,"    174.80",95.14,"    30.70",6.12,"    5.58",1.751,34,"Anhui","Liuan","安徽","六安市",NA,NA,NA,24.5,8.78,"    150262","    29991",6133,"    3416",1709000,365514,1618,1410,1488,1433,8,TRUE
"3415-2001","2001","3415","六安","六安",664.88,"175.32",96.86,"31.18",4.96,"5.13",1.751,34,"Anhui","Liuan","安徽","六安市",NA,NA,NA,23.09,7.9,"151625","57171",6566.7,"7236.84",1806100,379731,909,231,291,115,9,TRUE
"3415-2002","2002","3415","六安","六安",667.75,"175.56",98.02,"31.53",4.25,"4.11",1.751,34,"Anhui","Liuan","安徽","六安市",NA,NA,NA,22.5,7.84,"172797","65488",7679.87,"8353.06",1962260,412164,1359,265,928,248,10,TRUE
"3415-2003","2003","3415","六安","六安",669.5,"176.28",98.27,"31.59",4.5,"4.38",1.751,34,"Anhui","Liuan","安徽","六安市",NA,NA,NA,21.43,7.72,"178142","68913",8312.74,"8926.55",2090680,448501,2464,1803,534,334,11,TRUE
"3415-2004","2004","3415","六安","六安",675.14,"177.9",98.58,"31.35",6.69,"5.42",1.751,34,"Anhui","Liuan","安徽","六安市",NA,NA,NA,20.76,7.81,"212085","81047",10216.04,"10377.34",2531000,537550,4180,2021,1782,464,12,TRUE
"3416-2000","2000","3416","亳州","亳州",525.55,"    138.07",58.95,"    25.01",8.46,"    7.58",0.831,34,"Anhui","Bozhou","安徽","亳州市",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,TRUE
"3416-2001","2001","3416","亳州","亳州",530.02,"138.87",59.62,"25.64",8.26,"7.85",0.831,34,"Anhui","Bozhou","安徽","亳州市",NA,NA,NA,17.08,6.61,"104397","42066",6112.24,"6363.99",1640174,655388,2909,1669,709,445,9,TRUE
"3416-2002","2002","3416","亳州","亳州",534.84,"139.99",60.44,"25.72",7.86,"6.84",0.831,34,"Anhui","Bozhou","安徽","亳州市",NA,NA,NA,16.97,5.91,"126036","47564",7426.99,"8048.05",1724566,693319,6594,3880,1550,1180,10,TRUE
"3416-2003","2003","3416","亳州","亳州",539.23,"141.16",61.61,"26",7.07,"6.8",0.831,34,"Anhui","Bozhou","安徽","亳州市",NA,NA,NA,16.27,5.66,"130091","51660",7995.76,"9127.21",1832512,748147,2105,2008,2504,1798,11,TRUE
"3416-2004","2004","3416","亳州","亳州",545.67,"141.86",54.05,"17.26",7.52,"6.67",0.831,34,"Anhui","Bozhou","安徽","亳州市",NA,NA,NA,15.3,5.16,"148511","87763",9706.6,"17008.33",2246429,893429,1342,722,815,754,12,TRUE
"3417-2000","2000","3417","池州","池州",153.7,"    61.51",27.62,"    16.11",3.73,"    5.13",0.793,34,"Anhui","Chizhou","安徽","池州市",NA,NA,NA,8.64,4.05,"    56273","    28567",6513,"    7054",581223,294750,934,534,212,112,8,TRUE
"3417-2001","2001","3417","池州","池州",154.44,"62.09",23.56,"11.79",3.78,"5.05",0.793,34,"Anhui","Chizhou","安徽","池州市",NA,NA,NA,7.94,3.6,"62040","31105",7813.6,"8640.28",619052,311247,1557,190,505,208,9,TRUE
"3417-2002","2002","3417","池州","池州",154.77,"62.5",24.2,"12.2",3.16,"4.79",0.793,34,"Anhui","Chizhou","安徽","池州市",NA,NA,NA,7.49,3.5,"66097","33827",8824.7,"9664.86",669749,337346,678,485,610,339,10,TRUE
"3417-2003","2003","3417","池州","池州",154.91,"62.57",24.49,"12.19",3.18,"3.67",0.793,34,"Anhui","Chizhou","安徽","池州市",NA,NA,NA,6.94,3.24,"70757","36372",10195.53,"11225.93",755027,381894,3779,2593,2050,872,11,TRUE
"3417-2004","2004","3417","池州","池州",155.4,"62.98",25.32,"12.7",3.94,"4.14",0.793,34,"Anhui","Chizhou","安徽","池州市",NA,NA,NA,6.64,3.08,"79780","41397",12015.06,"13440.58",924253,457607,5561,4543,3037,1726,12,TRUE
"3418-2000","2000","3418","宣城","宣城",274.67,"    83.06",57.06,"    23.10",3.1,"    4.59",1.166,34,"Anhui","Xuancheng","安徽","宣城市",NA,NA,NA,15.96,3.54,"    113129","    24729",7088,"    6986",1604387,523953,954,0,871,48,8,TRUE
"3418-2001","2001","3418","宣城","宣城",275.12,"83.46",58.02,"14.55",3.47,"5.42",1.166,34,"Anhui","Xuancheng","安徽","宣城市",NA,NA,NA,14.32,4.6,"118586","39252",8281.15,"8533.04",1689098,559422,1299,0,334,115,9,TRUE
"3418-2002","2002","3418","宣城","宣城",275.47,"83.81",58.76,"14.83",3.56,"3.98",1.166,34,"Anhui","Xuancheng","安徽","宣城市",NA,NA,NA,13.72,2.55,"132458","24359",9654.37,"9552.55",1825966,598310,3868,308,1608,292,10,TRUE
"3418-2003","2003","3418","宣城","宣城",274.83,"83.39",45.97,"15.16",1.43,"-1.03",1.166,34,"Anhui","Xuancheng","安徽","宣城市",NA,NA,NA,12.32,2.32,"130540","24572",10595.78,"10591.38",2031763,666850,4526,64,3815,239,11,TRUE
"3418-2004","2004","3418","宣城","宣城",273.02,"83.64",46.07,"15.49",3.8,"5.77",1.166,34,"Anhui","Xuancheng","安徽","宣城市",NA,NA,NA,12.31,2.11,"157543","26483",12797.97,"12551.18",2356600,750700,3711,47,3636,47,12,TRUE
"3501-1994","1994","3501","福州","福州",555.47,"135.48",141.92,"95.23",9.4,"4.4",1.017,35,"Fujian","Fuzhou","福建","福州市",NA,NA,NA,83.74,58.38,"395346","288236",4801.38,"5015.42",3847529,1949438,220592,25718,91838,42132,1,FALSE
"3501-1995","1995","3501","福州","福州",562.27,"137.52",140.34,"98.29",12.36,"6.30",1.017,35,"Fujian","Fuzhou","福建","福州市",NA,NA,NA,82,56,"470311","335690",5827,"6101",5011688,2417600,322706,240939,105035,63711,3,FALSE
"3501-1996","1996","3501","福州","福州",569.95,"139.66",144.78,"100.81",12.45,"5.03",1.017,35,"Fujian","Fuzhou","福建","福州市",NA,NA,NA,90,61,"560623","396320",6454,"6600",6298067,3007349,111121,77497,97590,66384,4,FALSE
"3501-1997","1997","3501","福州","福州",574.85,"141.68",150.4,"103.42",8.37,"3.76",1.017,35,"Fujian","Fuzhou","福建","福州市",NA,NA,NA,87,59.3,"661115","467144",7599,"7878",7525341,3631050,92022,62091,97848,62722,5,FALSE
"3501-1998","1998","3501","福州","福州",579.82,"143.69",154.59,"105.74",4.72,"4.36",1.017,35,"Fujian","Fuzhou","福建","福州市",NA,NA,NA,77.6,52.43,"680682","342000",8772,"6523",8639244,4220134,111031,90588,90348,41344,6,TRUE
"3501-1999","1999","3501","福州","福州",583.13,"145.4",159.38,"108.5",8.5,"5.57",1.017,35,"Fujian","Fuzhou","福建","福州市",NA,NA,NA,70,46,"680607","470499",9780,"10277",9434378,4474772,93246,27305,90036,39542,7,TRUE
"3501-2000","2000","3501","福州","福州",589.23,"  148.49",165.2,"  111.58",14.14,"    4.99",1.017,35,"Fujian","Fuzhou","福建","福州市",NA,NA,NA,68.42,44.28,"    759607","    516288",11102,"    11660",10032690,4640980,95479,34602,80087,35150,8,TRUE
"3501-2001","2001","3501","福州","福州",594.14,"153.77",173.25,"117.22",4.73,"4.1",1.017,35,"Fujian","Fuzhou","福建","福州市",NA,NA,NA,69.09,45.71,"881625","617604",12760.53,"13511.35",10742289,5073444,103239,54566,100198,45920,9,TRUE
"3501-2002","2002","3501","福州","福州",597.53,"157.64",227.3,"138.73",4.66,"3.17",1.017,35,"Fujian","Fuzhou","福建","福州市",NA,NA,NA,67.12,42.1,"942722","625573",14045.32,"14859.22",11605280,5333686,107154,95413,109817,56100,10,TRUE
"3501-2003","2003","3501","福州","福州",604.86,"166.24",205.43,"133.74",5.19,"4.06",1.017,35,"Fujian","Fuzhou","福建","福州市",NA,NA,NA,71.3,43.77,"1073262","705691",15052.76,"16122.71",13476759,6254875,161412,70649,130198,77828,11,TRUE
"3501-2004","2004","3501","福州","福州",609.39,"170.85",NA,NA,3.86,"0.28",1.017,35,"Fujian","Fuzhou","福建","福州市",NA,NA,NA,78.17,46.53,"1296473","838203",16585.3,"18014.25",15484561,7370514,135003,76531,136042,77230,12,TRUE
"3502-1994","1994","3502","厦门","厦门",119.42,"65.49",50.6,"45.86",8.5,"5.7",0.13,35,"Fujian","Xiamen","福建","厦门市",NA,NA,NA,44.09,39.59,"321150","298204",7522.84,"7794.15",1890901,1617290,NA,NA,NA,NA,1,FALSE
"3502-1995","1995","3502","厦门","厦门",121.36,"66.96",52.9,"47.23",7.92,"5.84",0.13,35,"Fujian","Xiamen","福建","厦门市",NA,NA,NA,46,41,"418123","383364",9281,"9577",2505488,2103446,206241,197907,132160,116534,3,FALSE
"3502-1996","1996","3502","厦门","厦门",123,"68.36",55.28,"49.29",2.59,"3.86",0.13,35,"Fujian","Xiamen","福建","厦门市",NA,NA,NA,48,43,"512892","471053",10823,"11133",3084808,2581311,165045,157406,135017,119950,4,FALSE
"3502-1997","1997","3502","厦门","厦门",124.67,"124.67",57.01,"57.01",4.71,"4.71",0.13,35,"Fujian","Xiamen","福建","厦门市",NA,NA,NA,47.41,47.41,"560476","560476",11822,"11822",NA,NA,187912,187912,137867,137867,5,FALSE
"3502-1998","1998","3502","厦门","厦门",126.59,"126.59",59.34,"59.34",5.47,"5.47",0.13,35,"Fujian","Xiamen","福建","厦门市",NA,NA,NA,49.9,49.9,"610713","610713",12239,"12239",NA,NA,168811,168811,138121,138121,6,TRUE
"3502-1999","1999","3502","厦门","厦门",128.99,"128.99",62.75,"62.75",3.04,"3.04",0.13,35,"Fujian","Xiamen","福建","厦门市",NA,NA,NA,47,47,"657484","657484",14010,"14010",4582928,4582928,128655,128655,134196,134196,7,TRUE
"3502-2000","2000","3502","厦门","厦门",131.27,"  131.27",66.22,"    66.22",3.68,"    3.68",0.13,35,"Fujian","Xiamen","福建","厦门市",NA,NA,NA,49.17,49.17,"    751290","    751290",15279,"    15279",5018706,5018706,100400,100400,103150,103150,8,TRUE
"3502-2001","2001","3502","厦门","厦门",134.36,"134.36",69.73,"69.73",5.1,"5.1",0.13,35,"Fujian","Xiamen","福建","厦门市",NA,NA,NA,49.4,49.4,"823834","823834",16676.8,"16676.8",5583268,5583268,120342,120342,82521,82521,9,TRUE
"3502-2002","2002","3502","厦门","厦门",137.16,"137.16",96.3,"96.3",4.87,"4.87",0.13,35,"Fujian","Xiamen","福建","厦门市",NA,NA,NA,49.87,49.87,"890229","890229",17850.99,"17850.99",6483570,6483570,69026,69026,62093,62093,10,TRUE
"3502-2003","2003","3502","厦门","厦门",141.76,"141.76",83.74,"83.74",4.37,"4.37",0.13,35,"Fujian","Xiamen","福建","厦门市",NA,NA,NA,54.78,54.78,"1042111","1042111",19023.57,"19023.57",7596934,7596934,166949,166949,124286,124286,11,TRUE
"3502-2004","2004","3502","厦门","厦门",146.77,"146.77",91.04,"91.04",5.71,"5.71",0.13,35,"Fujian","Xiamen","福建","厦门市",NA,NA,NA,59.92,59.92,"1230762","1230762",20540.09,"20540.09",8832098,8832098,105514,105514,57024,57024,12,TRUE
"3503-1994","1994","3503","莆田","莆田",281.18,"32.76",22.73,"11.27",8.7,"4.8",0.331,35,"Fujian","Putian","福建","莆田市",NA,NA,NA,18.05,7.75,"76084","34334",4449.36,"4571.77",944169,274193,34541,23102,22061,11308,1,FALSE
"3503-1995","1995","3503","莆田","莆田",283.3,"33.22",23.72,"12.05",9.07,"5.10",0.331,35,"Fujian","Putian","福建","莆田市",NA,NA,NA,18,8,"84880","40137",4912,"5213",1336822,359615,27523,2802,20263,6020,3,FALSE
"3503-1996","1996","3503","莆田","莆田",285.85,"33.85",24.92,"12.78",11.54,"7.80",0.331,35,"Fujian","Putian","福建","莆田市",NA,NA,NA,18,8,"93451","42064",5549,"5818",1525679,411621,68811,3030,21811,4229,4,FALSE
"3503-1997","1997","3503","莆田","莆田",289.1,"34.45",27.42,"13.69",13.4,"6.18",0.331,35,"Fujian","Putian","福建","莆田市",NA,NA,NA,18.35,7.42,"122324","52599",6666,"7089",1400882,409387,12120,9800,23211,8494,5,FALSE
"3503-1998","1998","3503","莆田","莆田",291.82,"35.02",30.5,"14.51",4.86,"5.33",0.331,35,"Fujian","Putian","福建","莆田市",NA,NA,NA,20.15,7.65,"149142","58454",7402,"7641",1592846,461706,26755,932,24008,16038,6,TRUE
"3503-1999","1999","3503","莆田","莆田",294.34,"35.53",32.23,"15.16",10.75,"5.25",0.331,35,"Fujian","Putian","福建","莆田市",NA,NA,NA,20,7,"165597","64475",8321,"8869",1760444,494826,20871,7150,26550,17719,7,TRUE
"3503-2000","2000","3503","莆田","莆田",298.97,"    36.30",33.78,"    15.91",21.82,"    13.71",0.331,35,"Fujian","Putian","福建","莆田市",NA,NA,NA,20.46,7.05,"    187122","    68322",9146,"    9691",1984502,558531,21014,4844,28208,19122,8,TRUE
"3503-2001","2001","3503","莆田","莆田",300.54,"37.07",35.6,"17.01",6.62,"5.07",0.331,35,"Fujian","Putian","福建","莆田市",NA,NA,NA,20.71,7.03,"216548","80124",10456.2,"11397.44",2201347,621676,21049,9554,23580,15539,9,TRUE
"3503-2002","2002","3503","莆田","莆田",301.15,"200.81",63,"48.95",6.3,"6.34",0.331,35,"Fujian","Putian","福建","莆田市",NA,NA,NA,20.69,16.74,"234429","195914",11330.55,"11703.35",2320750,1818195,11505,NA,24057,22024,10,TRUE
"3503-2003","2003","3503","莆田","莆田",301.84,"201.63",57.4,"38.8",7.65,"7.54",0.331,35,"Fujian","Putian","福建","莆田市",NA,NA,NA,22.68,18.61,"265327","223819",11698.72,"12026.81",2627554,2072981,20972,20073,25069,22180,11,TRUE
"3503-2004","2004","3503","莆田","莆田",303.68,"202.67",58.44,"39.63",9.64,"7.83",0.331,35,"Fujian","Putian","福建","莆田市",NA,NA,NA,24.18,19.84,"305935","256972",12652.4,"12952.22",3084822,2449826,26446,22163,25476,21380,12,TRUE
"3504-1994","1994","3504","三明","三明",255.64,"25.41",57.6,"18.18",7.7,"6.1",2.078,35,"Fujian","Sanming","福建","三明市",NA,NA,NA,32.83,11.36,"162160","65370",4995.69,"5790.08",1588925,329332,8754,3579,5307,1326,1,FALSE
"3504-1995","1995","3504","三明","三明",258.29,"25.62",58.56,"18.42",11.3,"6.54",2.078,35,"Fujian","Sanming","福建","三明市",NA,NA,NA,33,11,"187330","74649",5706,"6713",1742744,370641,12620,4308,6701,1752,3,FALSE
"3504-1996","1996","3504","三明","三明",261.64,"26.10",60.38,"18.89",10.93,"7.97",2.078,35,"Fujian","Sanming","福建","三明市",NA,NA,NA,33,11,"204392","82420",6361,"7506",1958191,418137,5401,1516,7447,1900,4,FALSE
"3504-1997","1997","3504","三明","三明",263.62,"26.43",62.01,"19.28",8.3,"6.97",2.078,35,"Fujian","Sanming","福建","三明市",NA,NA,NA,31.88,10.36,"230086","89902",7217,"8678",2091770,458330,12179,3162,8580,1741,5,FALSE
"3504-1998","1998","3504","三明","三明",264.96,"26.99",63.46,"19.92",5.21,"4.04",2.078,35,"Fujian","Sanming","福建","三明市",NA,NA,NA,28.69,9.31,"230077","89175",8019,"9578",2243997,476634,3744,1808,5545,1653,6,TRUE
"3504-1999","1999","3504","三明","三明",266.07,"27.36",64.61,"20.24",6.19,"7.21",2.078,35,"Fujian","Sanming","福建","三明市",NA,NA,NA,27,9,"228365","84177",8531,"9754",2398875,512659,6016,1807,5602,2086,7,TRUE
"3504-2000","2000","3504","三明","三明",266.72,"    27.61",66.85,"    20.58",8.23,"    6.36",2.078,35,"Fujian","Sanming","福建","三明市",NA,NA,NA,25.1,8.12,"    235778","    86745",9394,"    10683",2549813,542411,6596,2117,6019,2620,8,TRUE
"3504-2001","2001","3504","三明","三明",267.1,"27.73",67.59,"20.71",5.1,"6.4",2.078,35,"Fujian","Sanming","福建","三明市",NA,NA,NA,23.25,7.34,"258259","96960",11107.91,"13209.81",2720804,589877,6212,1598,5703,2290,9,TRUE
"3504-2002","2002","3504","三明","三明",267.49,"27.95",95.78,"27.95",5.55,"5.47",2.078,35,"Fujian","Sanming","福建","三明市",NA,NA,NA,22.19,7.32,"278617","107915",12555.97,"14742.49",2865663,643386,4181,1166,6108,1246,10,TRUE
"3504-2003","2003","3504","三明","三明",267.66,"28.25",85.04,"21.02",5.94,"6.32",2.078,35,"Fujian","Sanming","福建","三明市",NA,NA,NA,21.56,7.14,"301030","118842",13962.43,"16644.54",3206821,729914,10292,1793,7286,1414,11,TRUE
"3504-2004","2004","3504","三明","三明",267.94,"28.31",86.39,"21.11",6.37,"7.69",2.078,35,"Fujian","Sanming","福建","三明市",NA,NA,NA,21.09,6.77,"317466","119960",15052.92,"17719.35",3758431,878202,11376,3740,9116,1883,12,TRUE
"3505-1994","1994","3505","泉州","泉州",612.63,"51.31",71.91,"20.78",12.8,"7.7",0.971,35,"Fujian","Quanzhou","福建","泉州市",NA,NA,NA,53.35,4.66,"249135","21686",4787.38,"4372.18",3802565,628961,132046,8520,72420,13870,1,FALSE
"3505-1995","1995","3505","泉州","泉州",625.92,"52.14",74.93,"21.79",17.46,"6.89",0.971,35,"Fujian","Quanzhou","福建","泉州市",NA,NA,NA,44,13,"251341","81479",5746,"6196",5189576,845404,116503,38017,76451,17229,3,FALSE
"3505-1996","1996","3505","泉州","泉州",645.02,"61.75",82.14,"27.12",10.38,"6.27",0.971,35,"Fujian","Quanzhou","福建","泉州市",NA,NA,NA,46,14,"290502","92098",6383,"6925",6290105,1061721,81831,22435,77096,22662,4,FALSE
"3505-1997","1997","3505","泉州","泉州",650.13,"62.71",85.21,"28.24",6.4,"4.97",0.971,35,"Fujian","Quanzhou","福建","泉州市",NA,NA,NA,52.56,16.32,"390561","116261",7431,"7124",7462783,1220906,111767,30874,78163,17194,5,FALSE
"3505-1998","1998","3505","泉州","泉州",654.19,"64",88.08,"28.19",4.92,"4.77",0.971,35,"Fujian","Quanzhou","福建","泉州市",NA,NA,NA,53.62,15.97,"436083","147280",8133,"9222",8638794,1390694,82275,20975,70787,17085,6,TRUE
"3505-1999","1999","3505","泉州","泉州",658.05,"65.04",90.98,"29.4",6.61,"3.92",0.971,35,"Fujian","Quanzhou","福建","泉州市",NA,NA,NA,58,18,"521855","180612",9043,"10107",9518340,1501085,115840,36203,56930,12924,7,TRUE
"3505-2000","2000","3505","泉州","泉州",654.62,"    57.78",91.01,"    28.04",8.9,"    8.85",0.971,35,"Fujian","Quanzhou","福建","泉州市",NA,NA,NA,60.4,18.74,"    586363","    198013",9708,"    10566",10450813,1628172,87014,27306,62331,14150,8,TRUE
"3505-2001","2001","3505","泉州","泉州",657.08,"95.27",93.72,"32.99",5.4,"5.45",0.971,35,"Fujian","Quanzhou","福建","泉州市",NA,NA,NA,63.22,21.67,"674380","256182",10667.19,"11821.97",11250986,2265768,120286,37406,80127,25376,9,TRUE
"3505-2002","2002","3505","泉州","泉州",659.03,"96.33",198,"49.77",4.42,"4.4",0.971,35,"Fujian","Quanzhou","福建","泉州市",NA,NA,NA,62.32,22.59,"757185","292587",12149.95,"12952.06",12230562,2448922,98402,42688,98402,26141,10,TRUE
"3505-2003","2003","3505","泉州","泉州",662.62,"97.77",169.62,"57.62",4.68,"4.72",0.971,35,"Fujian","Quanzhou","福建","泉州市",NA,NA,NA,69.24,29.93,"909243","396585",13131.76,"13250.42",13801105,2790851,209100,68466,99360,31636,11,TRUE
"3505-2004","2004","3505","泉州","泉州",665.28,"99.08",189.04,"58.81",5.23,"5.31",0.971,35,"Fujian","Quanzhou","福建","泉州市",NA,NA,NA,84.88,27.02,"1227745","403379",14464.48,"14928.9",16029716,3172405,166582,34959,109348,27033,12,TRUE
"3506-1994","1994","3506","漳州","漳州",429.45,"35.82",65.89,"19.96",7.7,"6",1.107,35,"Fujian","Zhangzhou","福建","漳州市",NA,NA,NA,38.74,11.65,"139428","50118",3665.3,"4346.75",1629034,289335,42944,7301,30487,5015,1,FALSE
"3506-1995","1995","3506","漳州","漳州",423.23,"36.27",66.81,"20.27",8.01,"6.59",1.107,35,"Fujian","Zhangzhou","福建","漳州市",NA,NA,NA,39,11,"162594","55598",4383,"5216",2266764,378843,143995,19147,36068,4684,3,FALSE
"3506-1996","1996","3506","漳州","漳州",436.23,"36.96",69.33,"20.93",11.24,"8.75",1.107,35,"Fujian","Zhangzhou","福建","漳州市",NA,NA,NA,38,10,"175138","59505",5179,"6091",2995873,467158,181000,25553,49000,1096,4,FALSE
"3506-1997","1997","3506","漳州","漳州",438.76,"48.35",71.28,"22.40",7.75,"8.61",1.107,35,"Fujian","Zhangzhou","福建","漳州市",NA,NA,NA,33.95,9.7,"199014","64570",5862,"6657",3685213,689028,71661,15941,61058,14232,5,FALSE
"3506-1998","1998","3506","漳州","漳州",441.54,"49.05",73.05,"23.13",5.32,"4.67",1.107,35,"Fujian","Zhangzhou","福建","漳州市",NA,NA,NA,33.33,9.94,"219488","74150",6585,"7460",4332983,797494,81379,17053,70218,8794,6,TRUE
"3506-1999","1999","3506","漳州","漳州",445.49,"49.68",74.44,"23.7",8.37,"7.76",1.107,35,"Fujian","Zhangzhou","福建","漳州市",NA,NA,NA,32,9,"232795","74683",7362,"8271",4870732,897683,90171,17282,80018,3611,7,TRUE
"3506-2000","2000","3506","漳州","漳州",450.28,"    50.53",76.88,"    24.48",10.64,"    6.96",1.107,35,"Fujian","Zhangzhou","福建","漳州市",NA,NA,NA,30.28,8.92,"    249316","    83706",8234,"    9384",4773573,931190,94419,9940,70958,5190,8,TRUE
"3506-2001","2001","3506","漳州","漳州",451.96,"51.06",77.7,"25.03",6.67,"5.67",1.107,35,"Fujian","Zhangzhou","福建","漳州市",NA,NA,NA,28.01,8.34,"267802","93797",9560.94,"11246.64",5238905,1063050,100186,10547,71313,8940,9,TRUE
"3506-2002","2002","3506","漳州","漳州",453.25,"51.44",140.65,"35.68",5.58,"5.47",1.107,35,"Fujian","Zhangzhou","福建","漳州市",NA,NA,NA,28.08,8.18,"288718","100573",10281.98,"12294.99",5346970,1157536,71050,12235,71420,5036,10,TRUE
"3506-2003","2003","3506","漳州","漳州",453.93,"51.87",125.89,"30.87",4.73,"4.39",1.107,35,"Fujian","Zhangzhou","福建","漳州市",NA,NA,NA,30.57,8.96,"338667","121070",11078.41,"13512.28",6033969,1312403,101049,11580,75016,5347,11,TRUE
"3506-2004","2004","3506","漳州","漳州",455.83,"52.67",128.72,"33.19",4.67,"4.15",1.107,35,"Fujian","Zhangzhou","福建","漳州市",NA,NA,NA,32.54,9.29,"389335","132285",11964.81,"14239.5",7020241,1536207,56292,6451,53082,3784,12,TRUE
"3507-1994","1994","3507","南平","南平",292.04,"46.92",72.06,"21.17",6.2,"6.9",2.402,35,"Fujian","Nanping","福建","南平市",NA,NA,NA,35.25,9.7,"101298","48479",4151.56,"5028.94",1276070,324977,18176,2877,9294,2552,1,FALSE
"3507-1995","1995","3507","南平","南平",293.99,"47.44",73.56,"21.77",6.7,"7.01",2.402,35,"Fujian","Nanping","福建","南平市",NA,NA,NA,36,10,"160643","56558",4572,"5867",1571420,365950,17540,9713,14090,3367,3,FALSE
"3507-1996","1996","3507","南平","南平",296.31,"47.89",75.75,"22.44",8.94,"6.92",2.402,35,"Fujian","Nanping","福建","南平市",NA,NA,NA,34,9,"166413","60565",5178,"6505",1880653,452703,22486,3220,14520,5183,4,FALSE
"3507-1997","1997","3507","南平","南平",298.12,"48.29",76.96,"22.89",6.79,"6.51",2.402,35,"Fujian","Nanping","福建","南平市",NA,NA,NA,31.46,9,"183000","67626",5817,"7514",2061769,487136,23175,1887,16520,1630,5,FALSE
"3507-1998","1998","3507","南平","南平",300.4,"48.68",78.27,"23.09",5.71,"5.29",2.402,35,"Fujian","Nanping","福建","南平市",NA,NA,NA,28.15,8.56,"180893","64952",6426,"7588",2088527,484676,20723,4688,16706,1705,6,TRUE
"3507-1999","1999","3507","南平","南平",301.71,"49",79.21,"23.42",6.95,"5.76",2.402,35,"Fujian","Nanping","福建","南平市",NA,NA,NA,25,7,"180976","62940",7207,"8634",2149324,504812,15324,6195,12857,5660,7,TRUE
"3507-2000","2000","3507","南平","南平",304.08,"    49.46",80.44,"    23.75",8.76,"    8.52",2.402,35,"Fujian","Nanping","福建","南平市",NA,NA,NA,23.13,6.91,"    196704","    72306",8504,"    10464",2227808,547948,18586,5064,20043,6756,8,TRUE
"3507-2001","2001","3507","南平","南平",304.59,"49.37",80.56,"23.59",5.35,"5.35",2.402,35,"Fujian","Nanping","福建","南平市",NA,NA,NA,21.6,6.33,"208350","74641",9645.83,"11791.63",2408847,619058,20598,6692,20343,5902,9,TRUE
